,Company,Ticker,,Exchange,Sector,Market Cap
239,Hennes & Mauritz AB - Class B Shares,HM B,🇸🇪,Stockholm Stock Exchange,Retailers,kr243.3bn
240,Hera Spa,HER,🇮🇹,Italian Stock Exchange,"Gas, Water & Multiutilities",€4.0bn
241,Hermes International,RMS,🇫🇷,Euronext Paris,Leisure Goods,€206.9bn
242,Hexagon AB - Class B Shares,HEXA B,🇸🇪,Stockholm Stock Exchange,Technology Hardware & Equipment,kr270.7bn
243,Hexpol AB - Class B Shares,HPOL B,🇸🇪,Stockholm Stock Exchange,Chemicals,kr35.6bn
244,Hikma Pharmaceuticals Plc,HIK,🇬🇧,London Stock Exchange,Pharmaceuticals & Biotechnology,£4.9bn
245,Hiscox Ltd,HSX,🇬🇧,London Stock Exchange,Nonlife Insurance,£3.7bn
246,H. Lundbeck AS,LUN,🇩🇰,Copenhagen Stock Exchange,Pharmaceuticals & Biotechnology,kr.34.4bn
247,Hochtief AG,HOT,🇩🇪,Frankfurt Stock Exchange,Construction & Materials,€7.1bn
248,Holcim Ltd,HOLN,🇨🇭,SIX Swiss Exchange,Construction & Materials,Fr.35.0bn
249,Homeserve,HSV,🇬🇧,London Stock Exchange,Support Services,£4.1bn
250,Howden Joinery Group Plc,HWDN,🇬🇧,London Stock Exchange,Support Services,£4.1bn
251,HSBC Holdings plc,HSBA,🇬🇧,London Stock Exchange,Banks,£124.6bn
252,Hugo Boss AG - Ordinary Shares (Registered),BOSS,🇩🇪,Frankfurt Stock Exchange,Personal Goods,€5.0bn
253,Huhtamaki Oyj,HUH1V,🇫🇮,Helsinki Stock Exchange,Food and Drug Retailers,€3.3bn
254,Husqvarna AB - Class B Shares,HUSQ B,🇸🇪,Stockholm Stock Exchange,Household Goods,kr45.5bn
255,Iberdrola S.A.,IBE,🇪🇸,Madrid Stock Exchange,Electricity,€69.5bn
256,Icade,ICAD,🇫🇷,Euronext Paris,Property,€2.8bn
257,ICA Gruppen AB,ICA,🇸🇪,Stockholm Stock Exchange,Retailers,kr107.8bn
258,IG Group Holdings Plc,IGG,🇬🇧,London Stock Exchange,Financial Services,£2.8bn
259,IMCD N.V.,IMCD,🇳🇱,Euronext Amsterdam,Chemicals,€7.5bn
260,Imerys,NK,🇫🇷,Euronext Paris,Mining,€2.7bn
261,IMI plc,IMI,🇬🇧,London Stock Exchange,Industrial Engineering,£4.1bn
262,Imperial Brands Plc,IMB,🇬🇧,London Stock Exchange,Tobacco,£16.7bn
263,Inchcape plc,INCH,🇬🇧,London Stock Exchange,Retailers,£3.3bn
264,Industria De Diseno Textil SA,ITX,🇪🇸,Madrid Stock Exchange,Personal Goods,€105.4bn
265,"Industrivarden, AB - Class A Shares",INDU A,🇸🇪,Stockholm Stock Exchange,Financial Services,kr76.2bn
266,Infineon Technologies AG,IFX,🇩🇪,Frankfurt Stock Exchange,Technology Hardware & Equipment,€44.8bn
267,Informa Plc,INF,🇬🇧,London Stock Exchange,Media,£10.5bn
268,ING Groep N.V.,INGA,🇳🇱,Euronext Amsterdam,Banks,€48.0bn
269,Inmobiliaria Colonial Socimi S.A.,COL,🇪🇸,Madrid Stock Exchange,Property,€3.1bn
270,Intercontinental Hotels Group,IHG,🇬🇧,London Stock Exchange,Travel & Leisure,£9.9bn
271,Intermediate Capital Group,ICP,🇬🇧,London Stock Exchange,Financial Services,£3.9bn
272,International Consolidated Airlines Group SA,IAG,🇬🇧,London Stock Exchange,Travel & Leisure,£8.3bn
273,International Distributions Services Plc,IDS,🇬🇧,London Stock Exchange,Industrial Transportation,£2.5bn
274,Interpump Group Spa,IP,🇮🇹,Italian Stock Exchange,"Gas, Water & Multiutilities",€5.0bn
275,Intertek Group plc,ITRK,🇬🇧,London Stock Exchange,Support Services,£6.9bn
276,Intesa Sanpaolo Spa,ISP,🇮🇹,Italian Stock Exchange,Banks,€43.7bn
