"Symbol","Description","Local Symbol","IPO Date","Category1","Category2","Category3","GICS Sector","ISIN","SEDOL","Market Cap","Currency","Actions"
"GY:PAT","Patrizia AG","PAT","03/31/2006","Global Equity","Comon stocks","Developed markets ex-US","Real Estate","DE000PAT1AG3","","0","EUR","Analyze"
"GY:PFV","Pfeiffer Vacuum Technology AG","PFV","04/15/1998","Global Equity","Comon stocks","Developed markets ex-US","Industrials","DE0006916604","","0","EUR","Analyze"
"GY:PSM","ProSiebenSat.1 Media SE","PSM","07/14/1997","Global Equity","Comon stocks","Developed markets ex-US","Communication Services","DE000PSM7770","","0","EUR","Analyze"
"GY:PUM","PUMA SE","PUM","02/01/1994","Global Equity","Comon stocks","Developed markets ex-US","Consumer Discretionary","DE0006969603","","0","EUR","Analyze"
"GY:QIA","QIAGEN N.V","QIA","10/23/1996","Global Equity","Comon stocks","Developed markets ex-US","Health Care","NL0012169213","","0","EUR","Analyze"
"GY:QIAB","Qiagen Nv Tipto","QIAB","08/14/2023","Global Equity","Common stocks","Developed markets ex-US","Health Care","NL0014676538","BLD5WW4","0","EUR","Analyze"
"GY:RAA","RATIONAL Aktiengesellschaft","RAA","03/06/2000","Global Equity","Comon stocks","Developed markets ex-US","Industrials","DE0007010803","","0","EUR","Analyze"
"GY:RHKV","Rhoen Klinikum V Ag","RHKV","04/16/2020","Global Equity","Common stocks","Developed markets ex-US","Health Care","DE000A288748","BLGYL43","0","EUR","Analyze"
"GY:RHM","Rheinmetall AG","RHM","02/01/1994","Global Equity","Comon stocks","Developed markets ex-US","Industrials","DE0007030009","","0","EUR","Analyze"
"GY:RIB1","Rib Software V","RIB1","04/06/2020","Global Equity","Common stocks","Developed markets ex-US","Information Technology","DE000A254260","BMGJQ51","0","EUR","Analyze"
"GY:RWE","RWE AG","RWE","02/01/1994","Global Equity","Comon stocks","Developed markets ex-US","Utilities","DE0007037129","","0","EUR","Analyze"
"GY:S92","SMA Solar Technology AG","S92","06/27/2008","Global Equity","Comon stocks","Developed markets ex-US","Information Technology","DE000A0DJ6J9","","0","EUR","Analyze"
"GY:SAE","Shop Apotheke Europe N.V","SAE","10/13/2016","Global Equity","Common stocks","Developed markets ex-US","Consumer Staples","NL0012044747","BYYH7G9","0","EUR","Analyze"
"GY:SANT","S&T AG","SANT","11/20/2000","Global Equity","Comon stocks","Developed markets ex-US","Information Technology","AT0000A0E9W5","","0","EUR","Analyze"
"GY:SAP","SAP SE","SAP","02/01/1994","Global Equity","Comon stocks","Developed markets ex-US","Information Technology","DE0007164600","","0","EUR","Analyze"
"GY:SAX","Ströer SE & Co. KGaA","SAX","07/15/2010","Global Equity","Comon stocks","Developed markets ex-US","Communication Services","DE0007493991","","0","EUR","Analyze"
"GY:SDF","K+S Aktiengesellschaft","SDF","02/01/1994","Global Equity","Comon stocks","Developed markets ex-US","Materials","DE000KSAG888","","0","EUR","Analyze"
"GY:SFQ","SAF-Holland S.A","SFQ","07/25/2007","Global Equity","Common stocks","Developed markets ex-US","Consumer Discretionary","LU0307018795","B2352K9","0","EUR","Analyze"
"GY:SHA","Schaeffler AG","SHA","10/08/2015","Global Equity","Common stocks","Developed markets ex-US","Consumer Discretionary","DE000SHA0159","BZ1DNL4","0","EUR","Analyze"
"GY:SIE","Siemens Aktiengesellschaft","SIE","02/01/1994","Global Equity","Comon stocks","Developed markets ex-US","Industrials","DE0007236101","","0","EUR","Analyze"
"GY:SIX2","Sixt SE","SIX2","02/01/1994","Global Equity","Comon stocks","Developed markets ex-US","Industrials","DE0007231326","","0","EUR","Analyze"
"GY:SIX3","Sixt SE","SIX3","10/09/1998","Global Equity","Common stocks","Developed markets ex-US","Industrials","DE0007231334","5271276","0","EUR","Analyze"
"GY:SNH","Steinhoff International Holdings N.V","SNH","12/06/2015","Global Equity","Common stocks","Developed markets ex-US","Consumer Discretionary","NL0011375019","BYZ1WZ4","0","EUR","Analyze"
"GY:SOW","Software Aktiengesellschaft","SOW","04/26/1999","Global Equity","Comon stocks","Developed markets ex-US","Information Technology","DE000A2GS401","","0","EUR","Analyze"
"GY:SRT3","Sartorius Aktiengesellschaft","SRT3","10/09/1998","Global Equity","Common stocks","Developed markets ex-US","Health Care","DE0007165631","5843329","0","EUR","Analyze"
"GY:STM","Stabilus S.A","STM","05/22/2014","Global Equity","Common stocks","Developed markets ex-US","Industrials","LU1066226637","BMM1PP4","0","EUR","Analyze"
"GY:STO3","Sto SE & Co. KGaA","STO3","02/09/1994","Global Equity","Comon stocks","Developed markets ex-US","Materials","DE0007274136","","0","EUR","Analyze"
"GY:SUSE","Suse SA","SUSE","05/19/2021","Global Equity","Comon stocks","Developed markets ex-US","Information Technology","","","0","EUR","Analyze"
"GY:SY1","Symrise AG","SY1","12/11/2006","Global Equity","Comon stocks","Developed markets ex-US","Materials","DE000SYM9999","","0","EUR","Analyze"
"GY:SYAB","Synlab AG","SYAB","05/03/2021","Global Equity","Comon stocks","Developed markets ex-US","Health Care","DE000A2TSL71","","0","EUR","Analyze"
"GY:SZG","Salzgitter AG","SZG","02/01/1994","Global Equity","Comon stocks","Developed markets ex-US","Materials","DE0006202005","","0","EUR","Analyze"
"GY:SZU","Südzucker AG","SZU","02/01/1994","Global Equity","Comon stocks","Developed markets ex-US","Consumer Staples","DE0007297004","","0","EUR","Analyze"
"GY:TEG","TAG Immobilien AG","TEG","04/27/1994","Global Equity","Comon stocks","Developed markets ex-US","Real Estate","DE0008303504","","0","EUR","Analyze"
